image,instances,positive_pixels,predicted_pixels,inference_seconds,tp,fp,fn,tn,precision,recall,specificity,iou,dice,pixel_accuracy
Image_20260714162350825_p028_x2304_y0768.jpg,4,1848,2880,0.06103531799999473,1751,1129,97,259167,0.6079861111111111,0.9475108225108225,0.9956626302363463,0.5881760161236144,0.7406937394247038,0.9953231811523438
Image_20260714162350825_p037_x1536_y1152.jpg,5,742,1109,0.05278139199981524,679,430,63,260972,0.612263300270514,0.9150943396226415,0.9983550240625549,0.5793515358361775,0.7336574824419233,0.9981193542480469
Image_20260714162350825_p038_x1920_y1152.jpg,2,1055,1628,0.052740260000064154,1054,574,1,260515,0.6474201474201474,0.9990521327014218,0.9978015159581599,0.6470227133210559,0.7856876630637346,0.9978065490722656
Image_20260714162350825_p039_x2304_y1152.jpg,2,569,476,0.052453375999903074,383,93,186,261482,0.8046218487394958,0.6731107205623902,0.9996444614355348,0.5785498489425982,0.7330143540669857,0.9989356994628906
Image_20260714162350825_p040_x2688_y1152.jpg,1,1368,1518,0.05458483899997191,1241,277,127,260499,0.8175230566534915,0.9071637426900585,0.9989377856857993,0.7544072948328268,0.86001386001386,0.9984588623046875
Image_20260714162350825_p048_x1536_y1536.jpg,2,1480,1933,0.05255537399989407,1385,548,95,260116,0.7165028453181583,0.9358108108108109,0.997897676702575,0.6829388560157791,0.8116026955757398,0.9975471496582031
Image_20260714162350825_p049_x1920_y1536.jpg,1,933,1240,0.05585719999999128,883,357,50,260854,0.7120967741935483,0.9464094319399786,0.9986332887971793,0.6844961240310078,0.8127013345605154,0.9984474182128906
Image_20260714162350825_p050_x2304_y1536.jpg,4,2448,2952,0.05752912700017987,2361,591,87,259105,0.7997967479674797,0.9644607843137255,0.9977242622142813,0.7769002961500494,0.8744444444444445,0.9974136352539062
Image_20260714162350825_p051_x2688_y1536.jpg,2,1673,1947,0.0561529829999472,1567,380,106,260091,0.8048279404211608,0.9366407650926479,0.9985411043839814,0.763273258645884,0.8657458563535911,0.9981460571289062
Image_20260714162350825_p055_x0000_y1920.jpg,0,0,0,0.05394370399994841,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p059_x1536_y1920.jpg,1,590,839,0.06524969299994154,577,262,13,261292,0.6877234803337307,0.9779661016949153,0.9989982948071908,0.6772300469483568,0.8075577326801959,0.9989509582519531
Image_20260714162350825_p060_x1920_y1920.jpg,3,2869,2828,0.060149771999931545,1980,848,889,258427,0.7001414427157001,0.6901359358661554,0.9967293414328415,0.5326876513317191,0.6951026856240127,0.9933738708496094
